date,country,product_category,tariff_rate_pct,announcement_source,headline,url
2018-03-08,Global,Steel,25.0,Section 232,Trump signs 25% steel tariffs under Section 232,
2018-03-08,Global,Aluminum,10.0,Section 232,Trump signs 10% aluminum tariffs under Section 232,
2018-07-06,China,Tech/Industrial,25.0,Section 301,US imposes 25% tariffs on $34B of Chinese tech goods,
2019-09-01,China,Consumer Goods,15.0,Section 301,New 15% tariffs on Chinese consumer goods take effect,
2020-01-15,China,Phase 1 Deal,7.5,Phase 1 Agreement,US reduces China tariffs to 7.5% under Phase 1 trade deal,
2022-10-07,China,Tech,25.0,Export Controls,US expands chip export controls and tech tariffs on China,
2024-05-14,China,EVs,100.0,Executive Order,Biden raises tariffs on Chinese EVs to 100%,
2024-05-14,China,Tech,50.0,Executive Order,Biden raises tariffs on Chinese solar cells and chips to 50%,
2025-02-01,China,All Goods,10.0,Executive Order,Trump adds blanket 10% tariff on all Chinese imports,
2025-03-04,China,All Goods,20.0,Executive Order,Trump raises China tariffs to 20% cumulative,
2025-03-04,Canada,All Goods,25.0,Executive Order,Trump imposes 25% tariffs on Canadian imports,
2025-03-04,Mexico,All Goods,25.0,Executive Order,Trump imposes 25% tariffs on Mexican imports,
2025-04-02,Global,All Goods,10.0,Liberation Day,Liberation Day: Trump announces 10% baseline tariff on all imports,
2025-04-09,China,All Goods,145.0,Escalation,US raises tariffs on China to 145% after retaliation,
2025-04-09,Global,All Goods,90.0,90-day Pause,Trump pauses reciprocal tariffs for 90 days for most countries,
